index,Delta_False_to_True_96,Delta_False_to_True_97,Delta_False_to_True_98,Delta_False_to_True_99
pa_bad-wechsel_m-pda,125,0.5,0.544303797468354,0.386024071384105
pa_bad-wechsel_hw1,0.170914542728636,0.568215892053973,0.58695652173913,0.442857142857143
pa_bad-wechsel_hw2,0.00162822252374491,0.00211509298427648,0.00203248021785031,0.00752507525075251
pa_bad-wechsel_chlor,0.170914542728636,0.568215892053973,0.58695652173913,0.417695473251029
pa_bad-wechsel_hw3,0.170914542728636,0.568215892053973,0.58695652173913,0.442857142857143
pa_staub-sauger_1_vor_aminbad_0_aus_>0_an,0,0,90,73.5813953488372
pa_staub-sauger_2_nach_aminbad,0,0,90,58.8
pa_staub-sauger_3_zw5_vor_hw2,0.0152050919377652,0.0310781078107811,0.0132850241545893,0.0139625309296571
pa_staub-sauger_4_nach_hw2,0.0152050919377652,0.0310781078107811,0.0132850241545893,0.00940002026958547
pa_staub-sauger_5,0.75,0.142857142857142,5.85714285714286,1.28947368421053
pa_bad-wechsel_mpda_nach,0.119106699751861,0.0856313497822931,0.134669811320755,0.617723880597015
pa_bad-wechsel_chlor_nach,0.119106699751861,0.0856313497822931,0.134669811320755,0.617723880597015
pp_actual_usage,0.00162822252374491,0.00329000160487883,0.01943599107324,0.0188309285978542
